City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vorgashor,67.5833,63.95,15.2,85,48,4.2,RU,1722543679
83,hawaiian paradise park,19.5933,-154.9731,26.73,71,100,1.34,US,1722543680
84,atafu village,-8.5421,-172.5159,27.84,74,64,8.2,TK,1722543681
85,laojunmiao,39.8333,97.7333,16.74,69,100,3.11,CN,1722543682
86,fortuna,40.5982,-124.1573,20.51,88,0,5.14,US,1722543683
87,codrington,-38.2667,141.9667,5.09,71,9,5.15,AU,1722543684
88,nemuro,43.3236,145.575,15.71,94,95,5.29,JP,1722543685
89,kirakira,-10.4544,161.9205,25.77,86,28,4.36,SB,1722543686
90,lerwick,60.1545,-1.1494,15.0,86,53,2.07,GB,1722543687
91,alapayevsk,57.8516,61.6963,13.95,95,21,2.01,RU,1722543688
92,troitskiy,57.0603,63.7481,14.68,95,6,2.0,RU,1722543689
93,zorritos,-3.6805,-80.6782,25.16,74,12,6.15,PE,1722543690
94,jamestown,42.097,-79.2353,31.12,71,75,3.09,US,1722543538
95,laminusa,5.5549,120.9136,28.35,73,98,2.15,PH,1722543693
96,ballina,-28.8667,153.5667,7.66,82,18,5.05,AU,1722543694
97,egersund,58.4513,5.9997,15.21,75,58,5.09,NO,1722543696
98,kisangani,0.5167,25.2,24.47,68,32,1.22,CD,1722543697
99,pokachi,61.7198,75.3683,16.31,74,57,4.5,RU,1722543698
100,zuwarah,32.9312,12.082,27.09,77,0,4.71,LY,1722543699
101,mae chai,19.346,99.814,22.68,99,100,1.77,TH,1722543701
102,potosi,-19.5836,-65.7531,16.48,23,0,6.17,BO,1722543549
103,puerto baquerizo moreno,-0.9,-89.6,23.55,88,75,5.14,EC,1722543703
104,hamilton,39.1834,-84.5333,33.38,69,0,3.09,US,1722543588
105,isafjordur,66.0755,-23.124,6.04,95,100,6.28,IS,1722543705
106,phnom penh,11.5625,104.916,25.95,100,40,1.03,KH,1722543590
107,swift current,50.2834,-107.8014,29.45,24,0,2.57,CA,1722543612
108,tofol,5.3248,163.0078,28.77,70,98,2.48,FM,1722543708
109,egilsstadir,65.2653,-14.3948,9.95,93,75,4.12,IS,1722543709
110,avarua,-21.2078,-159.775,23.03,49,100,1.03,CK,1722543710
111,gilgit,35.9221,74.3087,28.29,52,28,2.94,PK,1722543711
112,acapulco de juarez,16.8634,-99.8901,30.9,74,75,4.63,MX,1722543712
113,ceeldheer,3.8488,47.1806,24.44,84,58,7.67,SO,1722543714
114,kapa'a,22.0752,-159.319,28.99,68,20,5.66,US,1722543715
115,lakatoro,-16.0999,167.4164,23.81,81,61,3.07,VU,1722543716
116,hithadhoo,-0.6,73.0833,28.17,79,100,3.59,MV,1722543717
117,thunder bay,48.4001,-89.3168,30.95,51,75,4.12,CA,1722543634
118,isla del bosque,22.7333,-105.85,31.99,61,41,4.12,MX,1722543719
119,hadibu,12.65,54.0333,25.59,82,98,9.09,YE,1722543720
120,dzhalagash,45.0833,64.6667,28.99,20,0,5.3,KZ,1722543721
121,labytnangi,66.6572,66.4183,15.37,94,91,3.61,RU,1722543722
122,college,64.8569,-147.8028,15.99,68,100,4.63,US,1722543723
123,georgetown,5.4112,100.3354,27.96,78,20,2.06,MY,1722543724
124,alvaraes,-3.2208,-64.8042,33.93,36,100,0.51,BR,1722543725
125,mahanoro,-19.9,48.8,19.8,85,88,2.0,MG,1722543434
126,canto do buriti,-8.11,-42.9444,31.73,26,0,4.52,BR,1722543727
127,qinnan,33.2531,119.9133,25.54,95,86,1.48,CN,1722543728
128,charters towers,-20.1,146.2667,11.96,91,1,3.1,AU,1722543729
129,awjilah,29.1081,21.2869,31.63,27,0,5.74,LY,1722543730
130,botshabelo,-29.2702,26.7052,13.65,55,53,6.65,ZA,1722543553
131,kandi,11.1342,2.9386,24.14,90,30,1.88,BJ,1722543732
132,manaure,11.7751,-72.4445,30.55,66,100,6.74,CO,1722543734
133,iskateley,67.6803,53.1512,14.32,96,99,4.12,RU,1722543674
134,dalandzadgad,43.5708,104.425,21.23,51,3,3.67,MN,1722543736
135,kone,-21.0595,164.8658,17.31,87,100,1.6,NC,1722543737
136,vilyuchinsk,52.9306,158.4028,15.15,91,82,1.17,RU,1722543738
137,viedma,-40.8135,-62.9967,18.89,51,100,4.68,AR,1722543739
138,dalby,-27.1833,151.2667,6.19,67,0,2.32,AU,1722543740
139,colonia,50.9333,6.95,20.88,89,75,3.09,DE,1722543731
140,sheridan,44.8333,-106.9173,35.73,20,0,2.57,US,1722543742
141,dampit,-8.2116,112.7493,20.37,99,42,1.22,ID,1722543743
142,aasiaat,68.7098,-52.8699,3.37,83,16,2.94,GL,1722543744
143,terbanggi besar,-4.8667,105.2333,23.75,95,2,3.28,ID,1722543745
144,margate,51.3813,1.3862,19.61,84,29,3.99,GB,1722543746
145,borgonovo valtidone,45.0144,9.4435,27.15,70,0,3.1,IT,1722543747
146,san patricio,28.017,-97.5169,33.84,50,0,6.07,US,1722543748
147,nguigmi,14.2495,13.1092,25.37,76,99,5.06,NE,1722543749
148,yigo village,13.5361,144.8886,25.41,90,100,5.66,GU,1722543750
149,rio san juan,19.6439,-70.0763,24.81,93,100,3.89,DO,1722543752
150,ambodifotatra,-16.9833,49.85,23.54,62,0,4.54,MG,1722543754
151,labrador city,52.9463,-66.9114,25.1,40,40,3.6,CA,1722543755
152,st. john's,47.5649,-52.7093,27.66,66,75,7.72,CA,1722543756
153,susuman,62.7833,148.1667,2.29,84,98,2.11,RU,1722543757
154,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,75,1.0,RU,1722543758
155,inyonga,-6.7167,32.0667,18.65,32,5,2.22,TZ,1722543759
156,tougan,13.0667,-3.0667,28.36,68,93,3.74,BF,1722543760
157,ust-nera,64.5667,143.2,3.85,97,99,3.3,RU,1722543761
158,luderitz,-26.6481,15.1594,14.8,48,0,6.8,NA,1722543762
159,embalenhle,-26.5333,29.0667,10.31,85,16,3.19,ZA,1722543763
160,guerrero negro,27.9769,-114.0611,26.64,51,3,6.13,MX,1722543764
161,ribeira grande,38.5167,-28.7,26.22,83,40,3.09,PT,1722543765
162,harper,4.375,-7.7169,23.65,87,100,5.39,LR,1722543766
163,emerald,-23.5333,148.1667,6.3,55,0,3.78,AU,1722543754
164,sao jose da coroa grande,-8.8978,-35.1478,24.61,76,0,6.07,BR,1722543768
165,heroica caborca,30.7167,-112.15,35.89,33,73,1.28,MX,1722543769
166,igrim,63.1906,64.4162,14.3,92,29,2.49,RU,1722543770
167,olyokminsk,60.3736,120.4264,7.41,72,14,0.67,RU,1722543771
168,weno,7.4515,151.8468,26.97,89,100,0.0,FM,1722543773
169,dudinka,69.4058,86.1778,15.5,54,100,2.91,RU,1722543774
170,veraval,20.9,70.3667,27.52,87,100,10.23,IN,1722543775
171,kavaratti,10.5669,72.642,27.98,83,100,7.37,IN,1722543776
172,hun,29.1268,15.9477,31.55,24,0,2.7,LY,1722543777
173,macau,22.2006,113.5461,28.89,89,40,5.14,MO,1722543728
174,flying fish cove,-10.4217,105.6791,23.82,88,40,4.12,CX,1722543779
175,sainte-agathe-des-monts,46.0501,-74.2825,29.68,71,0,3.55,CA,1722543606
176,ola,59.5833,151.2833,9.46,90,100,5.97,RU,1722543781
177,alice springs,-23.7,133.8833,4.75,56,0,2.57,AU,1722543782
178,sorong,-0.8833,131.25,25.11,89,99,5.02,ID,1722543783
179,tadine,-21.55,167.8833,18.43,83,92,5.92,NC,1722543784
180,porto novo,6.4965,2.6036,25.9,88,36,3.72,BJ,1722543785
181,albany,42.6001,-73.9662,32.6,50,3,0.89,US,1722543620
182,parauapebas,-6.0675,-49.9022,32.99,45,20,2.57,BR,1722543787
183,kanggye,40.9695,126.5852,23.07,97,100,1.17,KP,1722543788
184,vadso,70.0744,29.7487,13.09,94,75,5.14,NO,1722543789
185,hammerfest,70.6634,23.6821,15.25,88,0,4.12,NO,1722543790
186,safi,32.1667,-8.8333,25.48,54,0,5.95,MA,1722543791
187,dhidhdhoo,6.8833,73.1,28.43,79,100,5.32,MV,1722543792
188,pandan,14.0453,124.1694,26.0,87,68,2.32,PH,1722543793
189,stephenville,32.2207,-98.2023,38.42,20,0,3.6,US,1722543794
190,acarau,-2.8856,-40.12,26.55,68,7,8.22,BR,1722543796
191,port hedland,-20.3167,118.5667,18.03,82,96,2.57,AU,1722543797
192,fort mcmurray,56.7268,-111.381,24.73,41,40,3.09,CA,1722543798
193,markala,13.7021,-6.0659,26.45,84,100,4.32,ML,1722543799
194,havre,49.5833,0.3333,20.19,88,57,3.09,FR,1722543800
195,kertih,4.5141,103.4483,25.01,94,82,0.0,MY,1722543801
196,labarthe-sur-leze,43.4521,1.3997,24.9,69,0,3.6,FR,1722543802
197,rongelap,11.1635,166.8941,28.02,79,54,3.2,MH,1722543803
198,al bawiti,28.3492,28.8659,32.42,21,6,3.83,EG,1722543804
199,coquimbo,-29.9533,-71.3436,13.85,86,100,6.17,CL,1722543805
200,east end,34.5507,-92.341,37.01,53,4,0.45,US,1722543806
201,saipan,15.1355,145.701,28.39,83,75,1.54,MP,1722543807
202,xincheng,33.6333,115.1833,24.98,97,3,2.76,CN,1722543808
203,klyuchi,52.2667,79.1667,23.02,46,68,2.95,RU,1722543809
204,bardai,11.65,7.2333,23.02,86,100,3.07,NG,1722543810
205,elmina,5.0898,-1.348,23.49,92,93,4.47,GH,1722543811
206,olonkinbyen,70.9221,-8.7187,5.2,97,100,7.24,SJ,1722543812
207,pacocha,-17.5833,-71.3333,18.08,68,75,3.6,PE,1722543814
208,westerland,54.9079,8.3033,17.01,67,75,5.66,DE,1722543815
209,zouerate,22.7187,-12.4521,38.97,6,0,6.41,MR,1722543817
210,arraial do cabo,-22.9661,-42.0278,22.92,64,0,6.17,BR,1722543818
211,taro,-8.3862,115.28,22.0,100,36,0.35,ID,1722543819
212,buncrana,55.1333,-7.45,19.87,89,100,1.65,IE,1722543820
213,matias romero,16.8833,-95.0333,30.15,62,87,7.07,MX,1722543821
214,bousso,10.4795,16.7117,23.82,89,100,1.78,TD,1722543822
